s_lat,s_lon,e_lat,e_lon,DepartureISO3,DestinationISO3,value
3.266,43.639,3.13,43.66,Baydhaba,a3.13_43.66,1
3.816,43.433,3.13,43.66,Waajid,a3.13_43.66,1
2.102,42.902,3.13,43.67,Diinsoor,a3.13_43.67,8
2.815,42.84,3.13,43.67,Qansax Dheere,a3.13_43.67,4
3.266,43.639,3.13,43.67,Baydhaba,a3.13_43.67,17
3.816,43.433,3.13,43.67,Waajid,a3.13_43.67,1
4.189,43.906,3.13,43.67,Xudur,a3.13_43.67,1
2.102,42.902,3.13,43.68,Diinsoor,a3.13_43.68,56
2.485,44.007,3.13,43.68,Buur Hakaba,a3.13_43.68,16
2.815,42.84,3.13,43.68,Qansax Dheere,a3.13_43.68,60
3.266,43.639,3.13,43.68,Baydhaba,a3.13_43.68,135
3.816,43.433,3.13,43.68,Waajid,a3.13_43.68,7
3.836,44.529,3.13,43.68,Tayeeglow,a3.13_43.68,1
4.189,43.906,3.13,43.68,Xudur,a3.13_43.68,5
4.674,43.998,3.13,43.68,Ceel Barde,a3.13_43.68,2
0.591,41.786,3.14,43.63,Afmadow,a3.14_43.63,1
2.102,42.902,3.14,43.63,Diinsoor,a3.14_43.63,8
2.485,44.007,3.14,43.63,Buur Hakaba,a3.14_43.63,8
2.815,42.84,3.14,43.63,Qansax Dheere,a3.14_43.63,10
3.266,43.639,3.14,43.63,Baydhaba,a3.14_43.63,148
3.816,43.433,3.14,43.63,Waajid,a3.14_43.63,83
3.836,44.529,3.14,43.63,Tayeeglow,a3.14_43.63,35
4.189,43.906,3.14,43.63,Xudur,a3.14_43.63,32
4.243,43.212,3.14,43.63,Rab Dhuure,a3.14_43.63,269
4.674,43.998,3.14,43.63,Ceel Barde,a3.14_43.63,4
3.266,43.639,3.14,43.64,Baydhaba,a3.14_43.64,3
3.816,43.433,3.14,43.64,Waajid,a3.14_43.64,2
3.836,44.529,3.14,43.64,Tayeeglow,a3.14_43.64,2
4.189,43.906,3.14,43.64,Xudur,a3.14_43.64,11
4.243,43.212,3.14,43.64,Rab Dhuure,a3.14_43.64,1
2.102,42.902,3.14,43.66,Diinsoor,a3.14_43.66,27
2.485,44.007,3.14,43.66,Buur Hakaba,a3.14_43.66,7
2.815,42.84,3.14,43.66,Qansax Dheere,a3.14_43.66,19
3.266,43.639,3.14,43.66,Baydhaba,a3.14_43.66,157
3.816,43.433,3.14,43.66,Waajid,a3.14_43.66,11
3.836,44.529,3.14,43.66,Tayeeglow,a3.14_43.66,2
4.189,43.906,3.14,43.66,Xudur,a3.14_43.66,3
4.243,43.212,3.14,43.66,Rab Dhuure,a3.14_43.66,1
2.102,42.902,3.14,43.67,Diinsoor,a3.14_43.67,42
2.485,44.007,3.14,43.67,Buur Hakaba,a3.14_43.67,5
2.815,42.84,3.14,43.67,Qansax Dheere,a3.14_43.67,11
3.266,43.639,3.14,43.67,Baydhaba,a3.14_43.67,79
4.189,43.906,3.14,43.67,Xudur,a3.14_43.67,5
3.266,43.639,3.14,43.68,Baydhaba,a3.14_43.68,1
3.266,43.639,3.15,43.64,Baydhaba,a3.15_43.64,3
3.816,43.433,3.15,43.64,Waajid,a3.15_43.64,8
4.189,43.906,3.15,43.64,Xudur,a3.15_43.64,6
4.243,43.212,3.15,43.64,Rab Dhuure,a3.15_43.64,9
2.102,42.902,3.15,43.66,Diinsoor,a3.15_43.66,41
2.485,44.007,3.15,43.66,Buur Hakaba,a3.15_43.66,16
2.815,42.84,3.15,43.66,Qansax Dheere,a3.15_43.66,23
3.266,43.639,3.15,43.66,Baydhaba,a3.15_43.66,180
3.816,43.433,3.15,43.66,Waajid,a3.15_43.66,22
3.836,44.529,3.15,43.66,Tayeeglow,a3.15_43.66,9
4.189,43.906,3.15,43.66,Xudur,a3.15_43.66,10
4.243,43.212,3.15,43.66,Rab Dhuure,a3.15_43.66,4
4.674,43.998,3.15,43.66,Ceel Barde,a3.15_43.66,5
2.102,42.902,3.15,43.67,Diinsoor,a3.15_43.67,13
2.485,44.007,3.15,43.67,Buur Hakaba,a3.15_43.67,5
2.815,42.84,3.15,43.67,Qansax Dheere,a3.15_43.67,24
3.266,43.639,3.15,43.67,Baydhaba,a3.15_43.67,125
3.816,43.433,3.15,43.67,Waajid,a3.15_43.67,1
3.836,44.529,3.15,43.67,Tayeeglow,a3.15_43.67,1
4.189,43.906,3.15,43.67,Xudur,a3.15_43.67,2
4.243,43.212,3.15,43.67,Rab Dhuure,a3.15_43.67,1
